commit	timestamp_utc	idea_id	title	evidence_type	mechanism	expected_assets	feature_inputs	oos_hypothesis	falsification	references	human_notes	train_cagr	validation_cagr	oos_cagr	benchmark_oos_cagr	excess_oos_cagr_vs_dbmf	ruined	status	description
0b77142	2026-05-28T16:09:04Z	tech_growth_top1_1m_010	Technology and growth leadership one-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	QQQ;XLK;XLY;XLC;SMH;SOXX;MTUM;QUAL;SPY;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Concentrated top-one 21-day momentum among liquid technology, growth, and quality ETFs.	-0.030915	0.292090	0.420810	0.175971	0.244839	false	discard	Concentrated top-one 21-day momentum among liquid technology, growth, and quality ETFs.
0b77142	2026-05-28T16:09:07Z	tech_growth_top1_2m_011	Technology and growth leadership two-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	QQQ;XLK;XLY;XLC;SMH;SOXX;MTUM;QUAL;SPY;SGOV	price_momentum_42d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Concentrated top-one 42-day momentum among liquid technology, growth, and quality ETFs.	-0.006080	0.303788	0.341491	0.175971	0.165519	false	discard	Concentrated top-one 42-day momentum among liquid technology, growth, and quality ETFs.
0b77142	2026-05-28T16:09:09Z	tech_growth_top1_3m_012	Technology and growth leadership three-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	QQQ;XLK;XLY;XLC;SMH;SOXX;MTUM;QUAL;SPY;SGOV	price_momentum_63d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Concentrated top-one 63-day momentum among liquid technology, growth, and quality ETFs.	0.124572	0.275070	0.961598	0.175971	0.785627	false	discard	Concentrated top-one 63-day momentum among liquid technology, growth, and quality ETFs.
0b77142	2026-05-28T16:09:12Z	tech_growth_top1_1m_trend63_013	Technology and growth one-month momentum with trend filter	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	QQQ;XLK;XLY;XLC;SMH;SOXX;MTUM;QUAL;SPY;SGOV	price_momentum_21d;trend_filter_63d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 21-day technology/growth momentum requiring positive 63-day trend.	0.030475	0.244223	0.502745	0.175971	0.326773	false	discard	Top-one 21-day technology/growth momentum requiring positive 63-day trend.
0b77142	2026-05-28T16:09:14Z	tech_growth_top2_1m_014	Technology and growth top-two one-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	QQQ;XLK;XLY;XLC;SMH;SOXX;MTUM;QUAL;SPY;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Equal-weight top-two 21-day momentum among technology/growth ETFs.	-0.035501	0.276629	0.492154	0.175971	0.316183	false	discard	Equal-weight top-two 21-day momentum among technology/growth ETFs.
0b77142	2026-05-28T16:09:17Z	tech_growth_blend_top1_015	Technology and growth blended momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	QQQ;XLK;XLY;XLC;SMH;SOXX;MTUM;QUAL;SPY;SGOV	price_momentum_63d;blended_3_6_12_month_momentum	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one technology/growth ETF by blended 3/6/12-month momentum.	0.016214	0.179846	0.464336	0.175971	0.288365	false	discard	Top-one technology/growth ETF by blended 3/6/12-month momentum.
0b77142	2026-05-28T16:09:20Z	riskon_macro_top1_1m_016	Risk-on macro leadership one-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;IWM;RSP;MTUM;HYG;DBC;GLD;TLT;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 21-day momentum across risk-on equities, credit, commodities, gold, duration, and cash.	0.168065	0.114314	0.448866	0.175971	0.272894	false	discard	Top-one 21-day momentum across risk-on equities, credit, commodities, gold, duration, and cash.
0b77142	2026-05-28T16:09:22Z	riskon_macro_top1_2m_017	Risk-on macro leadership two-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;IWM;RSP;MTUM;HYG;DBC;GLD;TLT;SGOV	price_momentum_42d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 42-day momentum across risk-on equities, credit, commodities, gold, duration, and cash.	0.040477	0.092268	0.308818	0.175971	0.132846	false	discard	Top-one 42-day momentum across risk-on equities, credit, commodities, gold, duration, and cash.
0b77142	2026-05-28T16:09:25Z	riskon_macro_top1_3m_018	Risk-on macro leadership three-month momentum	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;IWM;RSP;MTUM;HYG;DBC;GLD;TLT;SGOV	price_momentum_63d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Top-one 63-day momentum across risk-on equities, credit, commodities, gold, duration, and cash.	0.217672	0.172446	0.214593	0.175971	0.038621	false	discard	Top-one 63-day momentum across risk-on equities, credit, commodities, gold, duration, and cash.
0b77142	2026-05-28T16:09:28Z	sector_top1_1m_spy_guard_019	Sector one-month momentum gated by SPY trend	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;spy_200d_market_guard	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Sector/style 21-day momentum only when SPY is above its 200-day average; otherwise SGOV.	0.056376	0.227774	0.342083	0.175971	0.166112	false	discard	Sector/style 21-day momentum only when SPY is above its 200-day average; otherwise SGOV.
0b77142	2026-05-28T16:09:31Z	sector_top1_1m_voltarget_020	Sector one-month momentum with volatility cap	replication_of_known_anomaly	Cross-asset and sector ETF momentum can persist because macro regime information diffuses slowly across investor mandates, while a cash fallback avoids forcing exposure when recent leadership is negative.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;realized_volatility_target	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum	Sector/style 21-day momentum with selected sleeve scaled toward a 22% realized-volatility target and residual SGOV.	0.094774	0.292850	0.539355	0.175971	0.363384	false	discard	Sector/style 21-day momentum with selected sleeve scaled toward a 22% realized-volatility target and residual SGOV.
0b77142	2026-05-28T16:49:37Z	sector_top2_1m_bestfix_021	Sector/style top-two one-month momentum best-threshold fix	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Equal-weight top-two 21-day sector/style macro ETF momentum with corrected prior-best validation threshold.	0.113151	0.330491	0.567997	0.175971	0.392025	false	discard	Equal-weight top-two 21-day sector/style macro ETF momentum with corrected prior-best validation threshold.
0b77142	2026-05-28T16:49:41Z	sector_top3_1m_equal_022	Sector/style top-three one-month momentum	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Equal-weight top-three 21-day sector/style macro ETF momentum.	0.073518	0.309525	0.470402	0.175971	0.294431	false	discard	Equal-weight top-three 21-day sector/style macro ETF momentum.
0b77142	2026-05-28T16:49:44Z	sector_top2_2m_equal_023	Sector/style top-two two-month momentum	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_42d	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Equal-weight top-two 42-day sector/style macro ETF momentum.	0.041944	0.129241	0.348120	0.175971	0.172148	false	discard	Equal-weight top-two 42-day sector/style macro ETF momentum.
0b77142	2026-05-28T16:49:47Z	sector_top2_1m_scoreweight_024	Sector/style top-two one-month score-weighted momentum	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;score_weighted_top2	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Top-two 21-day sector/style macro ETF momentum weighted by positive momentum score.	0.096288	0.333550	0.627231	0.175971	0.451259	false	keep	Top-two 21-day sector/style macro ETF momentum weighted by positive momentum score.
0b77142	2026-05-28T16:49:52Z	sector_top1_1m_voladj_025	Sector/style top-one one-month volatility-adjusted momentum	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;realized_volatility_adjustment	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Top-one sector/style ETF by 21-day momentum divided by realized volatility.	0.056175	0.232141	0.362813	0.175971	0.186842	false	discard	Top-one sector/style ETF by 21-day momentum divided by realized volatility.
0b77142	2026-05-28T16:49:57Z	sector_top2_1m_voladj_026	Sector/style top-two one-month volatility-adjusted momentum	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SGOV	price_momentum_21d;realized_volatility_adjustment	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Top-two sector/style ETFs by 21-day momentum divided by realized volatility.	0.099552	0.155281	0.338258	0.175971	0.162287	false	discard	Top-two sector/style ETFs by 21-day momentum divided by realized volatility.
0b77142	2026-05-28T16:50:01Z	full_top1_1m_exalts_027	Expanded public ETF top-one one-month momentum	replication_of_known_anomaly	Retail-accessible ETF momentum can persist because macro regime information diffuses slowly across investor mandates, and a cash fallback avoids forced risk exposure when recent leadership is weak.	SPY;QQQ;RSP;IWM;USMV;QUAL;MTUM;VLUE;XLK;XLY;XLC;XLI;XLF;XLV;XLP;XLU;XLE;SMH;SOXX;XBI;HYG;LQD;GLD;DBC;IEF;TLT;SLV;UUP;EFA;EEM;ARKK;SGOV	price_momentum_21d;expanded_public_etf_universe	A liquid retail ETF momentum variant can improve validation CAGR without ruin; locked OOS and DBMF excess are diagnostics only.	Reject if it crashes, ruins, has non-positive validation CAGR, or fails to improve on the prior best validation CAGR.	Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers;Moskowitz, Ooi, and Pedersen (2012), Time Series Momentum;Public Yahoo Finance ETF adjusted-close prices via fixed prepare.py cache	Top-one 21-day momentum across expanded public ETF universe including international, dollar, silver, and innovation ETFs.	0.061223	0.195798	1.585406	0.175971	1.409435	false	discard	Top-one 21-day momentum across expanded public ETF universe including international, dollar, silver, and innovation ETFs.
